country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
PL,Poland,Pomeranian Voivodeship,,2020-04-06,-54,-37,-44,-61,-37,18
PL,Poland,Pomeranian Voivodeship,,2020-04-07,-51,-28,-31,-62,-48,19
PL,Poland,Pomeranian Voivodeship,,2020-04-08,-50,-26,-41,-63,-48,18
PL,Poland,Pomeranian Voivodeship,,2020-04-09,-48,-21,-40,-62,-49,19
PL,Poland,Pomeranian Voivodeship,,2020-04-10,-47,-15,-42,-60,-43,21
PL,Poland,Pomeranian Voivodeship,,2020-04-11,-71,-54,-61,-66,-46,17
PL,Poland,Silesian Voivodeship,,2020-02-15,13,1,45,13,3,0
PL,Poland,Silesian Voivodeship,,2020-02-16,21,-7,45,14,-1,1
PL,Poland,Silesian Voivodeship,,2020-02-17,9,4,20,11,21,-1
PL,Poland,Silesian Voivodeship,,2020-02-18,3,3,10,7,2,0
PL,Poland,Silesian Voivodeship,,2020-02-19,5,2,11,4,1,0
PL,Poland,Silesian Voivodeship,,2020-02-20,7,1,21,5,2,-1
PL,Poland,Silesian Voivodeship,,2020-02-21,0,-2,-8,1,21,0
PL,Poland,Silesian Voivodeship,,2020-02-22,5,-1,17,5,4,1
PL,Poland,Silesian Voivodeship,,2020-02-23,-10,-30,-40,-6,-3,3
PL,Poland,Silesian Voivodeship,,2020-02-24,2,2,-5,5,22,0
PL,Poland,Silesian Voivodeship,,2020-02-25,-1,3,-12,5,2,0
PL,Poland,Silesian Voivodeship,,2020-02-26,-4,-1,0,1,2,0
PL,Poland,Silesian Voivodeship,,2020-02-27,1,2,3,3,3,0
PL,Poland,Silesian Voivodeship,,2020-02-28,1,3,-7,6,23,0
PL,Poland,Silesian Voivodeship,,2020-02-29,5,1,3,2,5,2
PL,Poland,Silesian Voivodeship,,2020-03-01,9,-8,33,8,1,2
PL,Poland,Silesian Voivodeship,,2020-03-02,4,4,-8,6,23,0
PL,Poland,Silesian Voivodeship,,2020-03-03,-1,2,-7,4,3,0
PL,Poland,Silesian Voivodeship,,2020-03-04,4,6,3,4,3,0
PL,Poland,Silesian Voivodeship,,2020-03-05,4,5,31,6,4,-1
PL,Poland,Silesian Voivodeship,,2020-03-06,4,3,-2,7,24,-1
PL,Poland,Silesian Voivodeship,,2020-03-07,8,7,1,2,5,1
PL,Poland,Silesian Voivodeship,,2020-03-08,24,0,22,11,5,1
PL,Poland,Silesian Voivodeship,,2020-03-09,6,5,8,8,23,-1
PL,Poland,Silesian Voivodeship,,2020-03-10,6,13,18,8,3,-1
PL,Poland,Silesian Voivodeship,,2020-03-11,2,30,1,0,0,0
PL,Poland,Silesian Voivodeship,,2020-03-12,-12,23,1,-17,-13,5
PL,Poland,Silesian Voivodeship,,2020-03-13,-25,11,-24,-26,-2,8
PL,Poland,Silesian Voivodeship,,2020-03-14,-51,-17,-29,-33,-11,11
PL,Poland,Silesian Voivodeship,,2020-03-15,-68,-42,1,-44,-24,10
PL,Poland,Silesian Voivodeship,,2020-03-16,-49,-22,-20,-44,-21,14
PL,Poland,Silesian Voivodeship,,2020-03-17,-51,-25,19,-45,-37,16
PL,Poland,Silesian Voivodeship,,2020-03-18,-49,-23,39,-44,-39,16
PL,Poland,Silesian Voivodeship,,2020-03-19,-49,-23,33,-46,-39,16
PL,Poland,Silesian Voivodeship,,2020-03-20,-54,-21,-15,-49,-27,18
PL,Poland,Silesian Voivodeship,,2020-03-21,-65,-33,-54,-57,-28,15
PL,Poland,Silesian Voivodeship,,2020-03-22,-77,-58,-56,-63,-34,13
PL,Poland,Silesian Voivodeship,,2020-03-23,-52,-25,-41,-53,-30,18
PL,Poland,Silesian Voivodeship,,2020-03-24,-51,-18,-35,-52,-43,19
PL,Poland,Silesian Voivodeship,,2020-03-25,-58,-29,-45,-57,-45,20
PL,Poland,Silesian Voivodeship,,2020-03-26,-57,-29,-29,-56,-45,20
PL,Poland,Silesian Voivodeship,,2020-03-27,-57,-26,-18,-54,-33,20
PL,Poland,Silesian Voivodeship,,2020-03-28,-62,-33,5,-49,-28,14
PL,Poland,Silesian Voivodeship,,2020-03-29,-77,-58,-50,-65,-35,13
PL,Poland,Silesian Voivodeship,,2020-03-30,-55,-31,-49,-57,-34,19
PL,Poland,Silesian Voivodeship,,2020-03-31,-53,-22,-46,-56,-45,20
PL,Poland,Silesian Voivodeship,,2020-04-01,-57,-36,-45,-57,-46,20
PL,Poland,Silesian Voivodeship,,2020-04-02,-56,-33,-38,-56,-46,20
PL,Poland,Silesian Voivodeship,,2020-04-03,-58,-32,-50,-57,-35,21
PL,Poland,Silesian Voivodeship,,2020-04-04,-70,-44,-50,-56,-32,16
PL,Poland,Silesian Voivodeship,,2020-04-05,-72,65,-57,-64,-28,13
PL,Poland,Silesian Voivodeship,,2020-04-06,-52,-36,-38,-53,-36,18
PL,Poland,Silesian Voivodeship,,2020-04-07,-51,-26,-33,-51,-47,19
PL,Poland,Silesian Voivodeship,,2020-04-08,-48,-23,-30,-51,-47,18
PL,Poland,Silesian Voivodeship,,2020-04-09,-44,-17,-24,-49,-48,18
PL,Poland,Silesian Voivodeship,,2020-04-10,-48,-16,-40,-52,-48,22
PL,Poland,Silesian Voivodeship,,2020-04-11,-75,-58,-49,-57,-48,18
PL,Poland,Swietokrzyskie,,2020-02-15,13,4,14,14,0,0
PL,Poland,Swietokrzyskie,,2020-02-16,14,9,37,18,-2,1
PL,Poland,Swietokrzyskie,,2020-02-17,11,8,17,25,30,-3
PL,Poland,Swietokrzyskie,,2020-02-18,8,3,-1,15,3,1
PL,Poland,Swietokrzyskie,,2020-02-19,10,9,26,15,3,0
PL,Poland,Swietokrzyskie,,2020-02-20,7,4,9,15,2,0
PL,Poland,Swietokrzyskie,,2020-02-21,1,0,-13,11,4,1
PL,Poland,Swietokrzyskie,,2020-02-22,6,3,16,13,1,0
PL,Poland,Swietokrzyskie,,2020-02-23,-13,-12,-28,11,-5,2
PL,Poland,Swietokrzyskie,,2020-02-24,0,3,-9,13,28,-2
PL,Poland,Swietokrzyskie,,2020-02-25,0,4,-6,8,3,1
PL,Poland,Swietokrzyskie,,2020-02-26,-2,2,11,12,3,0
PL,Poland,Swietokrzyskie,,2020-02-27,2,4,0,13,2,1
PL,Poland,Swietokrzyskie,,2020-02-28,-1,5,-6,14,5,0
PL,Poland,Swietokrzyskie,,2020-02-29,3,5,8,5,1,1
PL,Poland,Swietokrzyskie,,2020-03-01,-3,8,16,10,1,1
PL,Poland,Swietokrzyskie,,2020-03-02,3,6,-12,12,29,-2
PL,Poland,Swietokrzyskie,,2020-03-03,3,3,0,11,4,1
PL,Poland,Swietokrzyskie,,2020-03-04,2,8,6,10,3,0
PL,Poland,Swietokrzyskie,,2020-03-05,4,7,13,14,3,0
PL,Poland,Swietokrzyskie,,2020-03-06,1,5,-4,13,4,0
PL,Poland,Swietokrzyskie,,2020-03-07,8,13,13,6,0,0
PL,Poland,Swietokrzyskie,,2020-03-08,9,19,10,5,1,1
PL,Poland,Swietokrzyskie,,2020-03-09,10,8,12,19,31,-3
PL,Poland,Swietokrzyskie,,2020-03-10,3,10,4,8,4,0
PL,Poland,Swietokrzyskie,,2020-03-11,6,39,14,15,2,-1
PL,Poland,Swietokrzyskie,,2020-03-12,-13,21,-8,-7,-18,6
PL,Poland,Swietokrzyskie,,2020-03-13,-30,4,-24,-28,-20,10
PL,Poland,Swietokrzyskie,,2020-03-14,-53,-14,-33,-33,-18,9
PL,Poland,Swietokrzyskie,,2020-03-15,-72,-34,-16,-52,-27,10
PL,Poland,Swietokrzyskie,,2020-03-16,-48,-18,-18,-37,-18,12
PL,Poland,Swietokrzyskie,,2020-03-17,-53,-26,-15,-43,-39,16
PL,Poland,Swietokrzyskie,,2020-03-18,-50,-22,9,-41,-40,15
PL,Poland,Swietokrzyskie,,2020-03-19,-52,-23,-3,-43,-41,16
PL,Poland,Swietokrzyskie,,2020-03-20,-57,-23,-36,-56,-39,19
PL,Poland,Swietokrzyskie,,2020-03-21,-64,-30,-41,-56,-30,14
PL,Poland,Swietokrzyskie,,2020-03-22,-76,-48,-43,-66,-35,12
PL,Poland,Swietokrzyskie,,2020-03-23,-52,-23,-34,-52,-27,15
PL,Poland,Swietokrzyskie,,2020-03-24,-52,-20,-35,-52,-43,19
PL,Poland,Swietokrzyskie,,2020-03-25,-58,-27,-38,-53,-45,19
PL,Poland,Swietokrzyskie,,2020-03-26,-59,-30,-35,-55,-45,20
PL,Poland,Swietokrzyskie,,2020-03-27,-59,-28,-34,-59,-43,21
PL,Poland,Swietokrzyskie,,2020-03-28,-64,-32,-12,-54,-30,12
PL,Poland,Swietokrzyskie,,2020-03-29,-74,-44,-26,-67,-34,12
PL,Poland,Swietokrzyskie,,2020-03-30,-54,-28,-39,-54,-31,16
PL,Poland,Swietokrzyskie,,2020-03-31,-54,-24,-45,-54,-45,20
PL,Poland,Swietokrzyskie,,2020-04-01,-58,-33,-36,-55,-46,19
PL,Poland,Swietokrzyskie,,2020-04-02,-58,-33,-37,-52,-46,20
PL,Poland,Swietokrzyskie,,2020-04-03,-60,-32,-49,-62,-45,22
PL,Poland,Swietokrzyskie,,2020-04-04,-72,-40,-49,-59,-33,14
PL,Poland,Swietokrzyskie,,2020-04-05,-73,50,-50,-71,-28,12
PL,Poland,Swietokrzyskie,,2020-04-06,-52,-31,-36,-50,-32,15
PL,Poland,Swietokrzyskie,,2020-04-07,-52,-26,-36,-52,-46,18
PL,Poland,Swietokrzyskie,,2020-04-08,-50,-19,-25,-46,-46,17
PL,Poland,Swietokrzyskie,,2020-04-09,-47,-14,-23,-48,-48,18
PL,Poland,Swietokrzyskie,,2020-04-10,-54,-16,-38,-60,-56,24
PL,Poland,Swietokrzyskie,,2020-04-11,-79,-58,-47,-63,-49,17
PL,Poland,Warmian-Masurian Voivodeship,,2020-02-15,9,0,27,10,5,0
PL,Poland,Warmian-Masurian Voivodeship,,2020-02-16,7,-16,-7,4,0,0
PL,Poland,Warmian-Masurian Voivodeship,,2020-02-17,6,2,14,13,24,-1
PL,Poland,Warmian-Masurian Voivodeship,,2020-02-18,2,-2,5,-1,2,0
PL,Poland,Warmian-Masurian Voivodeship,,2020-02-19,3,1,9,0,0,0
PL,Poland,Warmian-Masurian Voivodeship,,2020-02-20,7,1,8,3,1,-1
PL,Poland,Warmian-Masurian Voivodeship,,2020-02-21,4,-1,5,10,27,-2
PL,Poland,Warmian-Masurian Voivodeship,,2020-02-22,2,-1,12,2,4,0
PL,Poland,Warmian-Masurian Voivodeship,,2020-02-23,-5,-18,-20,5,-1,0
PL,Poland,Warmian-Masurian Voivodeship,,2020-02-24,3,1,1,11,25,-1
PL,Poland,Warmian-Masurian Voivodeship,,2020-02-25,1,1,0,0,3,0
PL,Poland,Warmian-Masurian Voivodeship,,2020-02-26,0,-3,8,-2,2,0
PL,Poland,Warmian-Masurian Voivodeship,,2020-02-27,5,2,-7,-2,1,0
PL,Poland,Warmian-Masurian Voivodeship,,2020-02-28,5,4,9,13,28,-2
PL,Poland,Warmian-Masurian Voivodeship,,2020-02-29,4,4,17,4,5,1
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-01,4,-4,19,9,2,0
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-02,2,3,-7,7,26,-1
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-03,3,1,-2,-3,3,0
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-04,5,4,4,0,1,0
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-05,8,5,9,1,2,-1
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-06,6,3,5,11,28,-2
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-07,11,10,17,5,7,0
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-08,24,2,13,9,5,-1
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-09,7,2,19,12,26,-2
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-10,7,8,17,1,3,-1
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-11,5,25,0,-1,1,0
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-12,-12,18,-27,-25,-18,6
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-13,-24,4,-7,-27,1,7
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-14,-50,-17,-26,-38,-12,9
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-15,-67,-40,-20,-52,-25,8
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-16,-45,-22,-12,-44,-17,11
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-17,-49,-26,8,-48,-36,13
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-18,-47,-26,24,-47,-37,14
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-19,-50,-25,-14,-53,-38,15
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-20,-50,-23,1,-50,-20,14
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-21,-59,-28,-9,-50,-23,11
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-22,-70,-47,-34,-63,-31,10
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-23,-46,-24,-9,-52,-23,13
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-24,-47,-20,0,-54,-38,14
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-25,-53,-29,-11,-57,-40,16
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-26,-52,-29,-18,-59,-41,16
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-27,-52,-26,2,-55,-25,15
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-28,-58,-30,40,-45,-23,10
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-29,-77,-60,-63,-73,-35,11
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-30,-51,-28,-27,-57,-28,15
PL,Poland,Warmian-Masurian Voivodeship,,2020-03-31,-50,-24,-33,-59,-41,17
PL,Poland,Warmian-Masurian Voivodeship,,2020-04-01,-55,-39,-42,-61,-44,18
PL,Poland,Warmian-Masurian Voivodeship,,2020-04-02,-55,-36,-40,-60,-45,18
PL,Poland,Warmian-Masurian Voivodeship,,2020-04-03,-56,-34,-39,-60,-29,18
PL,Poland,Warmian-Masurian Voivodeship,,2020-04-04,-68,-43,-35,-57,-29,13
PL,Poland,Warmian-Masurian Voivodeship,,2020-04-05,-66,51,-46,-64,-25,10
PL,Poland,Warmian-Masurian Voivodeship,,2020-04-06,-49,-36,-19,-53,-30,15
PL,Poland,Warmian-Masurian Voivodeship,,2020-04-07,-47,-27,-14,-54,-43,15
PL,Poland,Warmian-Masurian Voivodeship,,2020-04-08,-45,-25,-12,-53,-43,15
PL,Poland,Warmian-Masurian Voivodeship,,2020-04-09,-42,-19,-25,-55,-45,15
PL,Poland,Warmian-Masurian Voivodeship,,2020-04-10,-45,-15,-18,-52,-36,17
PL,Poland,Warmian-Masurian Voivodeship,,2020-04-11,-71,-53,-30,-57,-43,15
PL,Poland,West Pomeranian Voivodeship,,2020-02-15,4,-4,48,6,-4,-3
PL,Poland,West Pomeranian Voivodeship,,2020-02-16,0,-29,-15,1,-6,-1
PL,Poland,West Pomeranian Voivodeship,,2020-02-17,8,-2,28,-4,-19,1
PL,Poland,West Pomeranian Voivodeship,,2020-02-18,4,-5,15,-7,-18,3
PL,Poland,West Pomeranian Voivodeship,,2020-02-19,5,-6,7,-9,-18,3
PL,Poland,West Pomeranian Voivodeship,,2020-02-20,9,-4,36,-4,-18,2
PL,Poland,West Pomeranian Voivodeship,,2020-02-21,0,-5,17,-7,-18,3
PL,Poland,West Pomeranian Voivodeship,,2020-02-22,-3,-4,5,1,-1,-1
PL,Poland,West Pomeranian Voivodeship,,2020-02-23,-14,-34,-42,-1,-4,1
PL,Poland,West Pomeranian Voivodeship,,2020-02-24,2,1,0,1,3,0
PL,Poland,West Pomeranian Voivodeship,,2020-02-25,3,1,17,4,3,0
PL,Poland,West Pomeranian Voivodeship,,2020-02-26,0,-4,-4,0,3,0
PL,Poland,West Pomeranian Voivodeship,,2020-02-27,3,0,3,2,3,0
PL,Poland,West Pomeranian Voivodeship,,2020-02-28,2,3,0,2,3,0
PL,Poland,West Pomeranian Voivodeship,,2020-02-29,1,1,1,1,4,0
PL,Poland,West Pomeranian Voivodeship,,2020-03-01,3,-13,19,10,4,0
PL,Poland,West Pomeranian Voivodeship,,2020-03-02,4,2,-2,2,4,-1
PL,Poland,West Pomeranian Voivodeship,,2020-03-03,2,0,0,0,4,1
PL,Poland,West Pomeranian Voivodeship,,2020-03-04,5,2,7,3,4,0
PL,Poland,West Pomeranian Voivodeship,,2020-03-05,6,2,29,5,4,0
PL,Poland,West Pomeranian Voivodeship,,2020-03-06,1,1,-8,1,3,0
PL,Poland,West Pomeranian Voivodeship,,2020-03-07,4,5,-5,-2,3,0
PL,Poland,West Pomeranian Voivodeship,,2020-03-08,24,0,44,17,6,-1
PL,Poland,West Pomeranian Voivodeship,,2020-03-09,3,0,-2,3,3,0
PL,Poland,West Pomeranian Voivodeship,,2020-03-10,3,4,1,0,3,1
PL,Poland,West Pomeranian Voivodeship,,2020-03-11,7,20,19,6,2,0
PL,Poland,West Pomeranian Voivodeship,,2020-03-12,-12,16,-12,-18,-15,6
PL,Poland,West Pomeranian Voivodeship,,2020-03-13,-23,7,-25,-29,-18,9
PL,Poland,West Pomeranian Voivodeship,,2020-03-14,-42,-12,10,-22,-11,6
PL,Poland,West Pomeranian Voivodeship,,2020-03-15,-67,-43,-24,-41,-23,8
PL,Poland,West Pomeranian Voivodeship,,2020-03-16,-45,-21,-10,-40,-32,13
PL,Poland,West Pomeranian Voivodeship,,2020-03-17,-49,-26,12,-42,-36,15
PL,Poland,West Pomeranian Voivodeship,,2020-03-18,-48,-25,4,-43,-37,15
PL,Poland,West Pomeranian Voivodeship,,2020-03-19,-50,-26,-13,-48,-38,16
PL,Poland,West Pomeranian Voivodeship,,2020-03-20,-53,-24,-25,-51,-38,18
PL,Poland,West Pomeranian Voivodeship,,2020-03-21,-61,-31,-21,-47,-24,10
PL,Poland,West Pomeranian Voivodeship,,2020-03-22,-70,-48,-36,-52,-31,9
PL,Poland,West Pomeranian Voivodeship,,2020-03-23,-48,-25,-26,-48,-38,15
PL,Poland,West Pomeranian Voivodeship,,2020-03-24,-48,-20,-16,-48,-39,16
PL,Poland,West Pomeranian Voivodeship,,2020-03-25,-55,-30,-38,-53,-41,18
PL,Poland,West Pomeranian Voivodeship,,2020-03-26,-55,-30,-26,-53,-41,18
PL,Poland,West Pomeranian Voivodeship,,2020-03-27,-55,-28,-24,-54,-41,19
PL,Poland,West Pomeranian Voivodeship,,2020-03-28,-63,-34,-15,-50,-26,10
PL,Poland,West Pomeranian Voivodeship,,2020-03-29,-80,-66,-76,-69,-39,12
PL,Poland,West Pomeranian Voivodeship,,2020-03-30,-54,-31,-52,-58,-42,18
PL,Poland,West Pomeranian Voivodeship,,2020-03-31,-51,-24,-41,-54,-41,18
PL,Poland,West Pomeranian Voivodeship,,2020-04-01,-57,-39,-57,-58,-43,19
PL,Poland,West Pomeranian Voivodeship,,2020-04-02,-56,-36,-49,-57,-44,19
PL,Poland,West Pomeranian Voivodeship,,2020-04-03,-57,-36,-57,-58,-43,21
PL,Poland,West Pomeranian Voivodeship,,2020-04-04,-71,-46,-60,-56,-30,13
PL,Poland,West Pomeranian Voivodeship,,2020-04-05,-70,53,-69,-61,-25,10
PL,Poland,West Pomeranian Voivodeship,,2020-04-06,-51,-38,-46,-53,-42,17
PL,Poland,West Pomeranian Voivodeship,,2020-04-07,-50,-30,-44,-52,-43,17
PL,Poland,West Pomeranian Voivodeship,,2020-04-08,-48,-28,-44,-52,-42,16
PL,Poland,West Pomeranian Voivodeship,,2020-04-09,-44,-23,-46,-52,-44,17
PL,Poland,West Pomeranian Voivodeship,,2020-04-10,-47,-20,-52,-53,-49,21
PL,Poland,West Pomeranian Voivodeship,,2020-04-11,-73,-59,-62,-56,-44,15
