Powiat ,Siedziba władz powiatu ,Województwo 
Konin ,miasto na prawach powiatu ,wielkopolskie 
powiat koniński ,Konin ,wielkopolskie 
Koszalin ,miasto na prawach powiatu ,zachodniopomorskie 
powiat koszaliński ,Koszalin ,zachodniopomorskie 
powiat kościański ,Kościan ,wielkopolskie 
powiat kościerski ,Kościerzyna ,pomorskie 
powiat kozienicki ,Kozienice ,mazowieckie 
powiat krakowski ,Kraków ,małopolskie 
Kraków ,miasto na prawach powiatu ,małopolskie 
powiat krapkowicki ,Krapkowice ,opolskie 
powiat krasnostawski ,Krasnystaw ,lubelskie 
powiat kraśnicki ,Kraśnik ,lubelskie 
Krosno ,miasto na prawach powiatu ,podkarpackie 
powiat krośnieński ,Krosno ,podkarpackie 
powiat krośnieński ,Krosno Odrzańskie ,lubuskie 
powiat krotoszyński ,Krotoszyn ,wielkopolskie 
powiat kutnowski ,Kutno ,łódzkie 
powiat kwidzyński ,Kwidzyn ,pomorskie 
powiat legionowski ,Legionowo ,mazowieckie 
Legnica ,miasto na prawach powiatu ,dolnośląskie 
powiat legnicki ,Legnica ,dolnośląskie 
powiat leski ,Lesko ,podkarpackie 
powiat leszczyński ,Leszno ,wielkopolskie 
Leszno ,miasto na prawach powiatu ,wielkopolskie 
powiat leżajski ,Leżajsk ,podkarpackie 
powiat lęborski ,Lębork ,pomorskie 
powiat lidzbarski ,Lidzbark Warmiński ,warmińsko-mazurskie 
powiat limanowski ,Limanowa ,małopolskie 
powiat lipnowski ,Lipno ,kujawsko-pomorskie 
powiat lipski ,Lipsko ,mazowieckie 
powiat lubaczowski ,Lubaczów ,podkarpackie 
powiat lubański ,Lubań ,dolnośląskie 
powiat lubartowski ,Lubartów ,lubelskie 
powiat lubelski ,Lublin ,lubelskie 
powiat lubiński ,Lubin ,dolnośląskie 
Lublin ,miasto na prawach powiatu ,lubelskie 
powiat lubliniecki ,Lubliniec ,śląskie 
powiat lwówecki ,Lwówek Śląski ,dolnośląskie 
powiat łańcucki ,Łańcut ,podkarpackie 
powiat łaski ,Łask ,łódzkie 
powiat łęczycki ,Łęczyca ,łódzkie 
powiat łęczyński ,Łęczna ,lubelskie 
powiat łobeski ,Łobez ,zachodniopomorskie 
Łomża ,miasto na prawach powiatu ,podlaskie 
powiat łomżyński ,Łomża ,podlaskie 
powiat łosicki ,Łosice ,mazowieckie 
powiat łowicki ,Łowicz ,łódzkie 
powiat łódzki wschodni ,Łódź ,łódzkie 
Łódź ,miasto na prawach powiatu ,łódzkie 
powiat łukowski ,Łuków ,lubelskie 
powiat makowski ,Maków Mazowiecki ,mazowieckie 
powiat malborski ,Malbork ,pomorskie 
powiat miechowski ,Miechów ,małopolskie 
powiat mielecki ,Mielec ,podkarpackie 
powiat międzychodzki ,Międzychód ,wielkopolskie 
powiat międzyrzecki ,Międzyrzecz ,lubuskie 
powiat mikołowski ,Mikołów ,śląskie 
powiat milicki ,Milicz ,dolnośląskie 
powiat miński ,Mińsk Mazowiecki ,mazowieckie 
powiat mławski ,Mława ,mazowieckie 
powiat mogileński ,Mogilno ,kujawsko-pomorskie 
powiat moniecki ,Mońki ,podlaskie 
powiat mrągowski ,Mrągowo ,warmińsko-mazurskie 
Mysłowice ,miasto na prawach powiatu ,śląskie 
powiat myszkowski ,Myszków ,śląskie 
powiat myślenicki ,Myślenice ,małopolskie 
powiat myśliborski ,Myślibórz ,zachodniopomorskie 
powiat nakielski ,Nakło nad Notecią ,kujawsko-pomorskie 
powiat namysłowski ,Namysłów ,opolskie 
powiat nidzicki ,Nidzica ,warmińsko-mazurskie 
powiat niżański ,Nisko ,podkarpackie 
powiat nowodworski ,Nowy Dwór Gdański ,pomorskie 
powiat nowodworski ,Nowy Dwór Mazowiecki ,mazowieckie 
powiat nowomiejski ,Nowe Miasto Lubawskie ,warmińsko-mazurskie 
powiat nowosądecki ,Nowy Sącz ,małopolskie 
powiat nowosolski ,Nowa Sól ,lubuskie 
powiat nowotarski ,Nowy Targ ,małopolskie 
powiat nowotomyski ,Nowy Tomyśl ,wielkopolskie 
Nowy Sącz ,miasto na prawach powiatu ,małopolskie 
powiat nyski ,Nysa ,opolskie 
powiat obornicki ,Oborniki ,wielkopolskie 
powiat olecki ,Olecko ,warmińsko-mazurskie 
powiat oleski ,Olesno ,opolskie 
powiat oleśnicki ,Oleśnica ,dolnośląskie 
powiat olkuski ,Olkusz ,małopolskie 
Olsztyn ,miasto na prawach powiatu ,warmińsko-mazurskie 
powiat olsztyński ,Olsztyn ,warmińsko-mazurskie 
powiat oławski ,Oława ,dolnośląskie 
powiat opatowski ,Opatów ,świętokrzyskie 
powiat opoczyński ,Opoczno ,łódzkie 
Opole ,miasto na prawach powiatu ,opolskie 
powiat opolski ,Opole Lubelskie ,lubelskie 
powiat opolski ,Opole ,opolskie 
powiat ostrołęcki ,Ostrołęka ,mazowieckie 
Ostrołęka ,miasto na prawach powiatu ,mazowieckie 
powiat ostrowiecki ,Ostrowiec Świętokrzyski ,świętokrzyskie 
powiat ostrowski ,Ostrów Wielkopolski ,wielkopolskie 
powiat ostrowski ,Ostrów Mazowiecka ,mazowieckie 
powiat ostródzki ,Ostróda ,warmińsko-mazurskie 
powiat ostrzeszowski ,Ostrzeszów ,wielkopolskie 
powiat oświęcimski ,Oświęcim ,małopolskie 
powiat otwocki ,Otwock ,mazowieckie 
powiat pabianicki ,Pabianice ,łódzkie 
powiat pajęczański ,Pajęczno ,łódzkie 
powiat parczewski ,Parczew ,lubelskie 
powiat piaseczyński ,Piaseczno ,mazowieckie 
Piekary Śląskie ,miasto na prawach powiatu ,śląskie 
powiat pilski ,Piła ,wielkopolskie 
powiat pińczowski ,Pińczów ,świętokrzyskie 
powiat piotrkowski ,Piotrków Trybunalski ,łódzkie 
Piotrków Trybunalski ,miasto na prawach powiatu ,łódzkie 
powiat piski ,Pisz ,warmińsko-mazurskie 
powiat pleszewski ,Pleszew ,wielkopolskie 
Płock ,miasto na prawach powiatu ,mazowieckie 
powiat płocki ,Płock ,mazowieckie 
powiat płoński ,Płońsk ,mazowieckie 
powiat poddębicki ,Poddębice ,łódzkie 
powiat policki ,Police ,zachodniopomorskie 
powiat polkowicki ,Polkowice ,dolnośląskie 
Poznań ,miasto na prawach powiatu ,wielkopolskie 
powiat poznański ,Poznań ,wielkopolskie 
powiat proszowicki ,Proszowice ,małopolskie 
powiat prudnicki ,Prudnik ,opolskie 
powiat pruszkowski ,Pruszków ,mazowieckie 
powiat przasnyski ,Przasnysz ,mazowieckie 
powiat przemyski ,Przemyśl ,podkarpackie 
Przemyśl ,miasto na prawach powiatu ,podkarpackie 
powiat przeworski ,Przeworsk ,podkarpackie 
powiat przysuski ,Przysucha ,mazowieckie 
powiat pszczyński ,Pszczyna ,śląskie 
powiat pucki ,Puck ,pomorskie 
powiat puławski ,Puławy ,lubelskie 
powiat pułtuski ,Pułtusk ,mazowieckie 
powiat pyrzycki ,Pyrzyce ,zachodniopomorskie 
powiat raciborski ,Racibórz ,śląskie 
Radom ,miasto na prawach powiatu ,mazowieckie 
powiat radomski ,Radom ,mazowieckie 
powiat radomszczański ,Radomsko ,łódzkie 
powiat radziejowski ,Radziejów ,kujawsko-pomorskie 
powiat radzyński ,Radzyń Podlaski ,lubelskie 
powiat rawicki ,Rawicz ,wielkopolskie 
powiat rawski ,Rawa Mazowiecka ,łódzkie 
powiat ropczycko-sędziszowski ,Ropczyce ,podkarpackie 
Ruda Śląska ,miasto na prawach powiatu ,śląskie 
powiat rybnicki ,Rybnik ,śląskie 
Rybnik ,miasto na prawach powiatu ,śląskie 
powiat rycki ,Ryki ,lubelskie 
powiat rypiński ,Rypin ,kujawsko-pomorskie 
powiat rzeszowski ,Rzeszów ,podkarpackie 
Rzeszów ,miasto na prawach powiatu ,podkarpackie 
powiat sandomierski ,Sandomierz ,świętokrzyskie 
powiat sanocki ,Sanok ,podkarpackie 
powiat sejneński ,Sejny ,podlaskie 
powiat sępoleński ,Sępolno Krajeńskie ,kujawsko-pomorskie 
Siedlce ,miasto na prawach powiatu ,mazowieckie 
powiat siedlecki ,Siedlce ,mazowieckie 
Siemianowice Śląskie ,miasto na prawach powiatu ,śląskie 
powiat siemiatycki ,Siemiatycze ,podlaskie 
powiat sieradzki ,Sieradz ,łódzkie 
powiat sierpecki ,Sierpc ,mazowieckie 
powiat skarżyski ,Skarżysko-Kamienna ,świętokrzyskie 
Skierniewice ,miasto na prawach powiatu ,łódzkie 
powiat skierniewicki ,Skierniewice ,łódzkie 
powiat sławieński ,Sławno ,zachodniopomorskie 
powiat słubicki ,Słubice ,lubuskie 
powiat słupecki ,Słupca ,wielkopolskie 
Słupsk ,miasto na prawach powiatu ,pomorskie 
powiat słupski ,Słupsk ,pomorskie 
powiat sochaczewski ,Sochaczew ,mazowieckie 
powiat sokołowski ,Sokołów Podlaski ,mazowieckie 
powiat sokólski ,Sokółka ,podlaskie 
Sopot ,miasto na prawach powiatu ,pomorskie 
Sosnowiec ,miasto na prawach powiatu ,śląskie 
powiat stalowowolski ,Stalowa Wola ,podkarpackie 
powiat starachowicki ,Starachowice ,świętokrzyskie 
powiat stargardzki ,Stargard ,zachodniopomorskie 
powiat starogardzki ,Starogard Gdański ,pomorskie 
powiat staszowski ,Staszów ,świętokrzyskie 
powiat strzelecki ,Strzelce Opolskie ,opolskie 
powiat strzelecko-drezdenecki ,Strzelce Krajeńskie ,lubuskie 
powiat strzeliński ,Strzelin ,dolnośląskie 
powiat strzyżowski ,Strzyżów ,podkarpackie 
powiat sulęciński ,Sulęcin ,lubuskie 
powiat suski ,Sucha Beskidzka ,małopolskie 
powiat suwalski ,Suwałki ,podlaskie 
Suwałki ,miasto na prawach powiatu ,podlaskie 
powiat szamotulski ,Szamotuły ,wielkopolskie 
Szczecin ,miasto na prawach powiatu ,zachodniopomorskie 
powiat szczecinecki ,Szczecinek ,zachodniopomorskie 
powiat szczycieński ,Szczytno ,warmińsko-mazurskie 
powiat sztumski ,Sztum ,pomorskie 
powiat szydłowiecki ,Szydłowiec ,mazowieckie 
powiat średzki ,Środa Wielkopolska ,wielkopolskie 
powiat średzki ,Środa Śląska ,dolnośląskie 
powiat śremski ,Śrem ,wielkopolskie 
powiat świdnicki ,Świdnik ,lubelskie 
powiat świdnicki ,Świdnica ,dolnośląskie 
powiat świdwiński ,Świdwin ,zachodniopomorskie 
powiat świebodziński ,Świebodzin ,lubuskie 
powiat świecki ,Świecie ,kujawsko-pomorskie 
Świętochłowice ,miasto na prawach powiatu ,śląskie 
Świnoujście ,miasto na prawach powiatu ,zachodniopomorskie 
Tarnobrzeg ,miasto na prawach powiatu ,podkarpackie 
powiat tarnobrzeski ,Tarnobrzeg ,podkarpackie 
powiat tarnogórski ,Tarnowskie Góry ,śląskie 
powiat tarnowski ,Tarnów ,małopolskie 
Tarnów ,miasto na prawach powiatu ,małopolskie 
powiat tatrzański ,Zakopane ,małopolskie 
powiat tczewski ,Tczew ,pomorskie 
powiat tomaszowski ,Tomaszów Mazowiecki ,łódzkie 
powiat tomaszowski ,Tomaszów Lubelski ,lubelskie 
Toruń ,miasto na prawach powiatu ,kujawsko-pomorskie 
powiat toruński ,Toruń ,kujawsko-pomorskie 
powiat trzebnicki ,Trzebnica ,dolnośląskie 
powiat tucholski ,Tuchola ,kujawsko-pomorskie 
powiat turecki ,Turek ,wielkopolskie 
Tychy ,miasto na prawach powiatu ,śląskie 
powiat wadowicki ,Wadowice ,małopolskie 
